---------------------------------------------------------------------------------------------------------------
Report log for 09-01-2017 for Unit ID 705393
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/09 15:59:45, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 1, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/09 16:00:45, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 2, Max X:-35, Max Y:-2, Max Z:0, Start Speed:24, End Speed:0, Timer:2880
000: ? 2017/01/09 16:08:41, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 3, Max X:-25, Max Y:1, Max Z:0, Start Speed:23, End Speed:17, Timer:1639
000: ? 2017/01/09 16:08:52, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (71), Strength:1, SSN: 1, MSN: 4, Max X:9, Max Y:-25, Max Z:0, Start Speed:26, End Speed:35, Timer:2051
000: ? 2017/01/09 16:09:04, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 5, Max X:-43, Max Y:1, Max Z:0, Start Speed:49, End Speed:31, Timer:1051
000: ? 2017/01/09 16:09:47, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 6, Max X:-60, Max Y:20, Max Z:0, Start Speed:59, End Speed:18, Timer:3617
000: ? 2017/01/09 16:16:09, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 7, Max X:-56, Max Y:4, Max Z:0, Start Speed:89, End Speed:51, Timer:3320
000: ? 2017/01/09 16:16:20, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 8, Max X:-32, Max Y:0, Max Z:0, Start Speed:39, End Speed:23, Timer:1479
000: ? 2017/01/09 16:16:59, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 9, Max X:-39, Max Y:0, Max Z:0, Start Speed:24, End Speed:3, Timer:2044
000: ? 2017/01/09 16:29:39, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 10, Max X:-20, Max Y:5, Max Z:0, Start Speed:82, End Speed:69, Timer:2480
000: ? 2017/01/09 16:29:45, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 11, Max X:-30, Max Y:1, Max Z:0, Start Speed:46, End Speed:18, Timer:1601
000: ? 2017/01/09 16:32:06, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 12, Max X:-29, Max Y:-2, Max Z:0, Start Speed:20, End Speed:14, Timer:959
000: ? 2017/01/09 16:32:38, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 13, Max X:-30, Max Y:13, Max Z:0, Start Speed:43, End Speed:31, Timer:2362
000: ? 2017/01/09 16:32:50, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 14, Max X:-21, Max Y:1, Max Z:0, Start Speed:32, End Speed:19, Timer:1647
000: ? 2017/01/09 16:35:13, (0x09)U2H.MANEUVER -  Braking into turn (35), Strength:3, SSN: 1, MSN: 15, Max X:-32, Max Y:19, Max Z:0, Start Speed:19, End Speed:0, Timer:2878
000: ? 2017/01/09 16:36:36, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 17, Max X:-4, Max Y:-60, Max Z:0, Start Speed:30, End Speed:28, Timer:2727
000: ? 2017/01/09 16:37:09, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 18, Max X:-29, Max Y:0, Max Z:0, Start Speed:29, End Speed:17, Timer:929
000: ? 2017/01/09 16:37:40, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 1, MSN: 19, Max X:19, Max Y:33, Max Z:0, Start Speed:15, End Speed:18, Timer:1327
000: ? 2017/01/09 16:37:46, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 20, Max X:6, Max Y:-35, Max Z:0, Start Speed:24, End Speed:26, Timer:1355
000: ? 2017/01/09 16:37:49, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:3, SSN: 1, MSN: 21, Max X:17, Max Y:39, Max Z:0, Start Speed:26, End Speed:33, Timer:1079
000: ? 2017/01/09 16:38:38, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 22, Max X:-35, Max Y:9, Max Z:0, Start Speed:59, End Speed:51, Timer:847
000: ? 2017/01/09 16:38:40, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 23, Max X:-33, Max Y:2, Max Z:0, Start Speed:51, End Speed:36, Timer:1583
000: ? 2017/01/09 16:38:50, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 1, MSN: 24, Max X:8, Max Y:-38, Max Z:0, Start Speed:27, End Speed:29, Timer:1099
000: ? 2017/01/09 16:38:53, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (69), Strength:3, SSN: 1, MSN: 25, Max X:16, Max Y:40, Max Z:0, Start Speed:29, End Speed:37, Timer:1249
000: ? 2017/01/09 16:39:34, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 26, Max X:-22, Max Y:-1, Max Z:0, Start Speed:49, End Speed:39, Timer:837
000: ? 2017/01/09 16:39:59, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (71), Strength:3, SSN: 1, MSN: 27, Max X:14, Max Y:-38, Max Z:0, Start Speed:24, End Speed:31, Timer:1364
000: ? 2017/01/09 16:41:01, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 1, MSN: 28, Max X:-24, Max Y:0, Max Z:0, Start Speed:27, End Speed:15, Timer:850
000: ? 2017/01/09 16:41:28, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 1, MSN: 29, Max X:-35, Max Y:-3, Max Z:0, Start Speed:14, End Speed:4, Timer:820
000: ? 2017/01/09 16:41:36, (0x09)U2H.MANEUVER -  Accelerate into turn (23), Strength:1, SSN: 1, MSN: 30, Max X:20, Max Y:12, Max Z:0, Start Speed:9, End Speed:20, Timer:1979
000: ? 2017/01/09 16:42:07, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 1, MSN: 31, Max X:-7, Max Y:41, Max Z:0, Start Speed:33, End Speed:27, Timer:4439
000: ? 2017/01/09 16:43:44, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 1, MSN: 32, Valid GPS Samples:2635, Max Y:0, Avg. Voltage On:0, No Motion Timer:34, Distance: 382, Max Voltage:0
000: ? 2017/01/09 19:46:21, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 2, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/09 19:47:09, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 2, Max X:-28, Max Y:8, Max Z:0, Start Speed:73, End Speed:32, Timer:4560
000: ? 2017/01/09 19:47:15, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 2, MSN: 3, Max X:7, Max Y:-56, Max Z:0, Start Speed:30, End Speed:33, Timer:1879
000: ? 2017/01/09 19:47:42, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 4, Max X:-33, Max Y:6, Max Z:0, Start Speed:64, End Speed:36, Timer:3440
000: ? 2017/01/09 19:47:44, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:1, SSN: 2, MSN: 5, Max X:-20, Max Y:28, Max Z:0, Start Speed:36, End Speed:28, Timer:1636
000: ? 2017/01/09 19:47:49, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 2, MSN: 6, Max X:6, Max Y:-38, Max Z:0, Start Speed:26, End Speed:30, Timer:2641
000: ? 2017/01/09 19:48:42, (0x09)U2H.MANEUVER -  Braking while exiting turn (75), Strength:3, SSN: 2, MSN: 7, Max X:-49, Max Y:29, Max Z:0, Start Speed:73, End Speed:30, Timer:5357
000: ? 2017/01/09 19:49:53, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 2, MSN: 8, Max X:3, Max Y:-41, Max Z:0, Start Speed:32, End Speed:40, Timer:8960
000: ? 2017/01/09 19:49:58, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (69), Strength:3, SSN: 2, MSN: 9, Max X:15, Max Y:37, Max Z:0, Start Speed:39, End Speed:45, Timer:2160
000: ? 2017/01/09 19:55:29, (0x09)U2H.MANEUVER -  Speed event START (65530), Strength:2, SSN: 2, MSN: 10, Max X:0, Max Y:0, Max Z:0, Start Speed:130, End Speed:0, Timer:0
000: ? 2017/01/09 19:56:06, (0x09)U2H.MANEUVER -  Speed event END (65529), Strength:2, SSN: 2, MSN: 11, Max X:0, Max Y:0, Max Z:0, Start Speed:0, End Speed:138, Timer:0
000: ? 2017/01/09 19:58:49, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 12, Max X:-22, Max Y:-1, Max Z:0, Start Speed:73, End Speed:59, Timer:1280
000: ? 2017/01/09 19:59:10, (0x09)U2H.MANEUVER -  Accelerating (21), Strength:1, SSN: 2, MSN: 13, Max X:23, Max Y:-1, Max Z:0, Start Speed:7, End Speed:17, Timer:1763
000: ? 2017/01/09 20:05:39, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 2, MSN: 14, Max X:-23, Max Y:-6, Max Z:0, Start Speed:41, End Speed:19, Timer:1881
000: ? 2017/01/09 20:09:12, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 2, MSN: 15, Valid GPS Samples:1371, Max Y:0, Avg. Voltage On:0, No Motion Timer:8, Distance: 318, Max Voltage:0
000: ? 2017/01/09 20:10:38, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 3, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/09 20:11:13, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 3, MSN: 2, Max X:-22, Max Y:1, Max Z:0, Start Speed:53, End Speed:34, Timer:2160
000: ? 2017/01/09 20:11:17, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 3, MSN: 3, Max X:-28, Max Y:0, Max Z:0, Start Speed:26, End Speed:5, Timer:1360
000: ? 2017/01/09 20:12:13, (0x09)U2H.MANEUVER -  Sudden brake in turn (49), Strength:3, SSN: 3, MSN: 4, Max X:-23, Max Y:-34, Max Z:0, Start Speed:26, End Speed:13, Timer:2841
000: ? 2017/01/09 20:13:12, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:1, SSN: 3, MSN: 5, Max X:-22, Max Y:25, Max Z:0, Start Speed:28, End Speed:14, Timer:1320
000: ? 2017/01/09 20:13:58, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 3, MSN: 6, Valid GPS Samples:201, Max Y:0, Avg. Voltage On:0, No Motion Timer:25, Distance: 19, Max Voltage:0
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 10-01-2017 for Unit ID 705393
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 11-01-2017 for Unit ID 705393
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/11 07:49:00, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 4, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 07:50:01, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 4, MSN: 2, Valid GPS Samples:62, Max Y:0, Avg. Voltage On:0, No Motion Timer:20, Distance: 1, Max Voltage:0
000: ? 2017/01/11 07:52:13, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 5, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 07:52:33, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 5, MSN: 2, Valid GPS Samples:21, Max Y:0, Avg. Voltage On:0, No Motion Timer:20, Distance: 0, Max Voltage:0
000: ? 2017/01/11 07:52:53, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 6, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 07:52:58, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 6, MSN: 2, Valid GPS Samples:6, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 0, Max Voltage:0
000: ? 2017/01/11 07:54:24, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 7, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 07:54:59, (0x09)U2H.MANEUVER -  Sudden brake in turn (50), Strength:1, SSN: 7, MSN: 2, Max X:-18, Max Y:18, Max Z:0, Start Speed:13, End Speed:10, Timer:1489
000: ? 2017/01/11 07:56:57, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 7, MSN: 3, Valid GPS Samples:152, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 4, Max Voltage:0
000: ? 2017/01/11 08:02:30, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 8, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 08:02:38, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 8, MSN: 2, Valid GPS Samples:9, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 0, Max Voltage:0
000: ? 2017/01/11 08:02:53, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 9, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 08:03:26, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 9, MSN: 2, Valid GPS Samples:34, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 2, Max Voltage:0
000: ? 2017/01/11 08:04:24, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 10, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 08:07:42, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (71), Strength:3, SSN: 10, MSN: 2, Max X:12, Max Y:-44, Max Z:0, Start Speed:19, End Speed:25, Timer:2988
000: ? 2017/01/11 08:07:54, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 10, MSN: 3, Max X:-46, Max Y:7, Max Z:0, Start Speed:28, End Speed:0, Timer:3186
000: ? 2017/01/11 08:12:01, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:1, SSN: 10, MSN: 4, Max X:9, Max Y:26, Max Z:0, Start Speed:20, End Speed:23, Timer:1079
000: ? 2017/01/11 08:15:10, (0x09)U2H.MANEUVER -  Accelerate while in turn (41), Strength:1, SSN: 10, MSN: 5, Max X:16, Max Y:24, Max Z:0, Start Speed:28, End Speed:37, Timer:1361
000: ? 2017/01/11 08:20:51, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 10, MSN: 7, Valid GPS Samples:988, Max Y:0, Avg. Voltage On:0, No Motion Timer:11, Distance: 39, Max Voltage:0
000: ? 2017/01/11 08:21:13, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 11, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/11 08:21:41, (0x09)U2H.MANEUVER -  Accelerate while exiting turn (69), Strength:3, SSN: 11, MSN: 2, Max X:27, Max Y:41, Max Z:0, Start Speed:22, End Speed:38, Timer:2942
000: ? 2017/01/11 08:22:45, (0x09)U2H.MANEUVER -  Turning (55), Strength:3, SSN: 11, MSN: 3, Max X:0, Max Y:-48, Max Z:0, Start Speed:16, End Speed:16, Timer:1500
000: ? 2017/01/11 08:22:51, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 11, MSN: 4, Max X:3, Max Y:-30, Max Z:0, Start Speed:16, End Speed:21, Timer:4955
000: ? 2017/01/11 08:23:14, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 11, MSN: 5, Max X:-47, Max Y:13, Max Z:0, Start Speed:64, End Speed:35, Timer:3964
000: ? 2017/01/11 08:28:23, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: App kill during trip [14], SSN: 11, MSN: 6, Valid GPS Samples:423, Max Y:0, Avg. Voltage On:0, No Motion Timer:22, Distance: 18, Max Voltage:0
---------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------
Report log for 12-01-2017 for Unit ID 705393
---------------------------------------------------------------------------------------------------------------
000: ? 2017/01/12 09:03:57, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 12, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 09:04:00, (0x09)U2H.MANEUVER -  Trip end (2), End Reason: Out of Cradle [8], SSN: 12, MSN: 2, Valid GPS Samples:4, Max Y:0, Avg. Voltage On:0, No Motion Timer:0, Distance: 0, Max Voltage:0
000: ? 2017/01/12 09:48:50, (0x09)U2H.MANEUVER -  Trip start (1), Strength:0, SSN: 13, MSN: 1, Max X:0, Max Y:0, Avg. Voltage Off:0, Start Speed:0, Start Reason:UNKNOWN [10], Min Voltage at sleep:0
000: ? 2017/01/12 09:49:36, (0x09)U2H.MANEUVER -  Braking into turn (35), Strength:1, SSN: 13, MSN: 2, Max X:-21, Max Y:20, Max Z:0, Start Speed:28, End Speed:13, Timer:1768
000: ? 2017/01/12 09:51:45, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 3, Max X:-40, Max Y:0, Max Z:0, Start Speed:35, End Speed:22, Timer:1155
000: ? 2017/01/12 09:52:26, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 4, Max X:-33, Max Y:12, Max Z:0, Start Speed:41, End Speed:26, Timer:1920
000: ? 2017/01/12 09:54:23, (0x09)U2H.MANEUVER -  Turning (53), Strength:3, SSN: 13, MSN: 5, Max X:-2, Max Y:45, Max Z:0, Start Speed:29, End Speed:27, Timer:2842
000: ? 2017/01/12 09:55:28, (0x09)U2H.MANEUVER -  Braking (19), Strength:3, SSN: 13, MSN: 6, Max X:-35, Max Y:-3, Max Z:0, Start Speed:27, End Speed:0, Timer:2844
000: ? 2017/01/12 09:55:53, (0x09)U2H.MANEUVER -  Turning (55), Strength:1, SSN: 13, MSN: 7, Max X:-1, Max Y:-28, Max Z:0, Start Speed:28, End Speed:27, Timer:1135
000: ? 2017/01/12 09:56:17, (0x09)U2H.MANEUVER -  Braking (19), Strength:1, SSN: 13, MSN: 8, Max X:-21, Max Y:3, Max Z:0, Start Speed:45, End Speed:11, Timer:1569
